,Embedding,Texto,Keywords Pregunta
27,[ 0.01519   0.04996  -0.007015 ...  0.03778  -0.01752  -0.03662 ],"A Portuguesa (en español, La Portuguesa) es el nombre por el que se conoce el Himno nacional de Portugal.
La letra fue escrita por Henrique Lopes de Mendonça mientras que la música fue compuesta por Alfredo Keil.[1]​ Fue compuesta inicialmente como una marcha, como respuesta al ultimátum británico de 1890. Adoptado como un himno republicano y finalmente por la nueva República Portuguesa en 1910 como Himno Nacional, reemplazando a O Hino da Carta, el último himno de la monarquía constitucional en Portugal.Un himno nacional es una composición musical emblemática de una nación, que la identifica y que une entre sí a quienes la interpretan.[1]​ Estas funciones representativas, simbólicas y de unión son compartidas con la bandera, el traje típico y otros.
En general, los himnos nacionales tratan de reflejar la unión, el sentimiento de solidaridad y la glorificación de la historia y las tradiciones de un país.[2]​ 
Los himnos nacionales comienzan a surgir en la modernidad, al mismo tiempo que lo hace la nación. [3]​Así pues, algunos de los himnos nacionales más antiguos del  mundo son los de Gran Bretaña (1740),[4]​España (1770), Francia (1792) y Argentina (1812-1813).[3]​Existen otras composiciones musicales de mayor antigüedad, pero solo más tardíamente se les acabaría otorgando el carácter de himnos nacionales.[3]​
Durante los siglos xix y xx, con el crecimiento del número de países independientes, muchos de ellos adoptaron himnos nacionales que, en algunos casos, coexistían con canciones populares de carácter patriótico utilizadas.[5]​
Según Michael Billing, en su libro titulado Nacionalismo Banal, el himno es uno de los elementos utilizados para crear y mantener identidades nacionales.[6]​ Para Enric Hobsbawn y Terence Ranger, es uno de los elementos de estudio en el entorno de lo que llaman la invención de la tradición.[4]​","¿Quién escribió la letra del himno nacional de portugal, A Portuguesa?"
28,[ 0.003967  0.03848  -0.05637  ...  0.0212    0.04727  -0.01101 ],"La Armada de Suecia (en sueco: Svenska marinen) es la rama naval de la Fuerzas Armadas de Suecia.  Se compone de unidades de superficie y submarinas - la Flota (en sueco: Flottan)- así como de unidades de infantería de marina, denominadas Cuerpo Anfibio (Amfibiekåren). Es una marina de guerra de tamaño moderado, pero moderna y poderosa, especializada en buques de defensa costera, como corbetas, minadores, lanchas misileras y patrulleros. Debido a su orientación y sus buques -pensados para operar en el Mar Báltico, el Golfo de Botnia y el Estrecho de Kattegat- no se le puede calificar como una ""armada de agua azul"".
En Suecia, a los buques de la armada se les da el prefijo ""HMS"", abreviatura de ""Hans/Hennes Majestäts Skepp"" (Buque de Su Majestad). Algunas marinas de guerra internacionales, pero no así la propia marina de guerra sueca, le asignan el prefijo ""HSwMS"" (en inglés: ""His Swedish Majesty's Ship"" o ""Buque de Su Majestad Sueca""), sobre todo para diferenciarlos de las naves de la Royal Navy británica, que también usan la abreviatura ""HMS"" (""Her Majesty's Ship"").Carlos IX de Suecia (Estocolmo, 4 de octubre de 1550-Nyköping, 30 de octubre de 1611) fue rey de Suecia entre 1604 y 1611. Fue el último hijo del rey Gustavo Vasa y de su segunda esposa, Margarita Eriksdotter. Antes de ser rey de Suecia, había heredado de su padre el ducado de Södermanland. De 1599 a 1604 se desempeñó como regente de Suecia, tras el derrocamiento de su sobrino, Segismundo Vasa.
Fue un férreo opositor al catolicismo, defensor de la independencia y precursor de la política expansionista sueca, en la que se topó con la rivalidad de Polonia. De carácter represor y autoritario, llevó a cabo la fundación de un Estado fuerte, en concordancia con los ideales de su padre.",¿Qué rey sueco inició la armada de Suecia?
29,[ 0.004044  0.006374 -0.0468   ...  0.03207  -0.0626   -0.0196  ],"Eduardo Antônio dos Santos, conocido deportivmente como Edú Manga, (Osasco, Brasil, 2 de febrero de 1967) es un exfutbolista brasileño que jugaba como volante. militó en clubes de Brasil, Chile, Ecuador, España, Japón y México; y tuvo también el privilegio de jugar por la selección brasileña, a fines de la década de los 80', donde jugó la Copa América de Argentina 1987 y las clasificatorias para el Mundial de Italia 1990.Brasil, oficialmente República Federativa de Brasil (),[10]​[11]​ es un país soberano de América del Sur que comprende la mitad oriental del continente y algunos grupos de pequeñas islas en el océano Atlántico. Su capital es Brasilia y su ciudad más poblada es São Paulo. Es el tercer país más grande de América.
Con una superficie estimada en más de 8 500 000 km²,[3]​ es el quinto país más grande del mundo en área total (equivalente al 47,69 % del territorio sudamericano).[12]​ Delimitado por el océano Atlántico al este, Brasil tiene una línea costera de 7491 km.[3]​ Al norte limita con el departamento ultramarino francés de la Guayana Francesa, Surinam, Guyana y Venezuela; al noroeste con Colombia; al oeste con Perú y Bolivia; al suroeste con Paraguay y Argentina, y al sur con Uruguay. De este modo tiene frontera con todos los países de América del Sur, excepto Ecuador y Chile.[13]​ La mayor parte del país está comprendido entre los trópicos terrestres, por lo que las estaciones climáticas no se sienten de una manera radical en gran parte de su territorio. La selva amazónica cubre 3 600 000 km² del territorio. Gracias a su vegetación y al clima, es uno de los países con más especies de animales en el mundo.[14]​
La región del actual Brasil, hasta entonces habitada por pueblos indígenas, tuvo su primer contacto con los europeos en el año 1500 d. C. a través de una expedición portuguesa liderada por Pedro Álvares Cabral. Tras el Tratado de Tordesillas, el territorio brasileño fue el segmento del continente americano que correspondió al reino de Portugal, del cual obtuvo su independencia el 7 de septiembre de 1822. Así, el país pasó de ser parte central del reino de Portugal a un imperio para finalmente convertirse en una república. Su primera capital fue Salvador de Bahía, que fue sustituida por Río de Janeiro hasta que se construyó una nueva capital, Brasilia. Su constitución actual, formulada en 1988, define a Brasil como una república federativa presidencialista.[11]​ La federación está formada por la unión del Distrito Federal, los 26 estados y los 5570 municipios.[11]​[15]​[nota 1]​
A pesar de que sus más de 203 millones de habitantes[17]​ hacen de Brasil el séptimo país más poblado del mundo, presenta un bajo índice de densidad poblacional. Esto se debe a que la mayor parte de la población se concentra a lo largo del litoral, mientras que el interior del territorio aún está marcado por enormes vacíos demográficos. El idioma oficial y el más hablado es el portugués, que lo convierte en el mayor país lusófono del mundo.[13]​ Por su parte, la religión con más seguidores es el catolicismo, siendo el país con mayor número de católicos nominales del mundo. La sociedad brasileña es considerada una sociedad multiétnica al estar formada por descendientes de europeos, indígenas, africanos y asiáticos.
La economía brasileña es la mayor de América del Sur, Iberoamérica y del hemisferio sur, la undécima mayor del mundo por PIB nominal y la octava mayor por paridad del poder adquisitivo (PPC).[18]​[19]​ Es considerado una economía de renta media alta por el Banco Mundial y un país recientemente industrializado, que tiene la mayor proporción de riqueza global de América Latina debido al abundante petróleo y diversos minerales encontrados fácilmente en el país.[20]​[21]​[22]​ Sin embargo, su abundante riqueza está muy concentrada, convirtiendo al país en uno de los más desiguales del mundo,[23]​ el 10 % más rico de su población recibió el 54 % de la renta nacional en 2018.[24]​ Como potencia regional y media, la nación tiene reconocimiento e influencia internacional, siendo también clasificada como potencia global emergente y como potencial superpotencia por varios analistas.[25]​[26]​
El país es miembro fundador de la Organización de las Naciones Unidas (ONU), G20, Comunidad de Países de Lengua Portuguesa (CPLP), Unión Latina, Organización de los Estados Americanos (OEA), Organización de los Estados iberoamericanos (OEI), Mercado Común del Sur (Mercosur) y de la Unión de Naciones Sudamericanas (Unasur), además de ser uno de los países BRICS.",¿Practicar qué deporte le hizo famoso al brasileño Edú Manga?
30,[-0.03638 -0.06464 -0.04858 ...  0.02052  0.01023 -0.02995],"El vicariato apostólico de Arabia del Norte (en latín: Vicariatus Apostolicus Arabiae Septentrionalis y en árabe: النيابة الرسولية لشمال شبه الجزيرة العربية‎) es una circunscripción eclesiástica de rito latino de la Iglesia católica en la península arábiga. Desde el 13 de mayo de 2020 su administrador apostólico sede vacante es Paul Hinder, O.F.M.Cap.En el cristianismo, un obispo (del latín episcopus; en griego ἐπίσκοπος, 'vigilante', 'inspector', 'supervisor' o 'superintendente') es un fiel que recibe el liderazgo de supervisar una congregación, a los pastores o sacerdotes, según el caso, de un territorio determinado.
La Iglesia católica, la Iglesia ortodoxa, la Comunión anglicana y algunas iglesias luteranas afirman que la sucesión apostólica se mantiene mediante la ordenación de obispos de forma personal e ininterrumpida desde los tiempos de los apóstoles. Esto es, los apóstoles ordenaron a obispos, los cuales de forma ininterrumpida han seguido ordenando nuevos obispos hasta hoy.
En la Iglesia católica es un presbítero que lleve, al menos, cinco años ordenado, y que recibe el sacramento del orden sacerdotal en su máximo grado, que es el episcopado. Considera al obispo como el miembro de la Iglesia que ha recibido la plenitud del sacerdocio ministerial por el sacramento del orden, sucesor de los apóstoles y pastor encargado del gobierno de una diócesis; en virtud de la colegialidad, comparte con el papa y con los demás obispos la responsabilidad sobre toda la Iglesia católica. 
En La Iglesia de Jesucristo de los Santos de los Últimos Días, un obispo es el líder de una congregación local (conocida como barrio) con responsabilidades similares a las de un pastor, sacerdote, o rabí. Esta posición no es remunerada.[1]​ 
Desde un punto de vista etimológico, el obispo es aquella dignidad eclesiástica encargada del control y vigilancia del cumplimento de las leyes de la Iglesia católica o Derecho canónico en el territorio de su jurisdicción o diócesis. Los obispos poseen símbolos distintivos que muestran su dignidad. En el catolicismo, usan vestiduras de color púrpura, un anillo y una cruz. En las ceremonias solemnes, llevan la mitra y el báculo pastoral. El papa, pastor de la Iglesia católica y cabeza del Colegio Episcopal, es al mismo tiempo el obispo de Roma.",¿Cuál es la denominación religiosa de Gregorio III Laham?
31,[-0.05814  -0.07153  -0.04187  ... -0.010056 -0.002728 -0.0338  ],"The Love Boat, El crucero del amor (en Hispanoamérica), El bote del amor (en Venezuela) o Vacaciones en el mar (en España) es una serie de televisión estadounidense que se emitió en la cadena ABC entre los años 1977 y 1986. Estaba ambientada en un barco que realizaba cruceros de lujo por diferentes lugares del mundo. Es básicamente una comedia de situación con toques románticos, de tono amable y pensada para un público familiar.Albert Leong (30 de septiembre de 1952) es un artista marcial, coreógrafo de artes marciales, escritor, actor, doble de riesgo y director de ascendencia asiática-estadounidense. Ha aparecido en cine y televisión, además de involucrarse en la producción cinematográfica.
En el año 2000 hizo su debut directorial y como escritor en la película independiente Daddy Tell Me a Story...",¿Cuál es la profesión de Ted Lange?
32,[-0.005627  0.01406  -0.0546   ...  0.01238   0.04834  -0.01151 ],"El Fútbol Club Red Bull Salzburgo[3]​ (en alemán: Fußball Club Red Bull Salzburg), o Salzburgo de manera abreviada,[4]​[5]​ es un club de fútbol de la ciudad de Salzburgo, Austria. Juega en la Bundesliga austriaca, máxima categoría del país. Fue fundado el 13 de septiembre de 1933 como Sportverein Austria Salzburgo, gracias a la fusión de otros dos equipos locales.
Ascendió a la máxima categoría nacional en 1953 teniendo un papel relevante hasta los años 1990 cuando, bajo el nombre de Casino Salzburgo, alcanzó sus mejores resultados con tres campeonatos de liga, tres supercopas y un subcampeonato en la Copa de la UEFA 1993-94. El 6 de abril de 2005 la empresa de bebidas energéticas Red Bull GmbH compró el Austria Salzburgo, siendo el primer club comprado por el grupo empresarial. Posteriormente modificó su nombre y escudo, pasando a denominarse Red Bull Salzburg.[6]​ y dándole un presupuesto importante al equipo para invertir en fichajes.[6]​ En los torneos internacionales participa como FC Salzburg por las limitaciones de la UEFA a los patrocinadores.[7]​
Cuando el equipo clasificó como campeón de Austria a la Liga de Campeones de la UEFA 2017-18, otro club propiedad de Red Bull, el RasenBallsport Leipzig de Alemania, también se había clasificado a este torneo continental, poniendo en riesgo la participación de ambos por estatutos UEFA, que prohíben la participación simultánea a dos equipos de un mismo propietario. Finalmente, la UEFA decidió aceptar ambos equipos tras confirmar que «no existe influencia simultánea» entre los dos, alegando cambios en sus estructuras que dejaron a Red Bull como propietario del equipo alemán y únicamente patrocinador del equipo austriaco, pero en la práctica toma las decisiones deportivas y administrativas de ambos equipos.[8]​
En protesta por las decisiones de Red Bull GmbH, un grupo de aficionados de Salzburgo fundó un nuevo club con los colores e historia tradicionales, el S. V. Austria Salzburg.[9]​El Red Bull Arena o Salzburgo Arena es un estadio de fútbol en la municipalidad de Wals-Siezenheim en los suburbios de Salzburgo, Austria. Fue oficialmente abierto en marzo del 2003 y es donde juega de local el club Red Bull Salzburg de la Bundesliga Austriaca.",¿Cuál es el nombre del equipo de fútbol que juega en el Red Bull Arena en Salzburgo?
33,[ 0.0362    0.0218   -0.01758  ...  0.007435 -0.06793  -0.01358 ],"Ponzone es una localidad y comune italiana de la provincia de Alessandria, región de Piamonte, con 1.218 habitantes.El Señorío de Masserano fue concedido a Antonio Fieschi el 29 de mayo de 1394 por el Papa Bonifacio IX, y elevado a Condado por el Papa Julio II en 1506. Pasó a los Ferrero, por la adopción de Ludovico II,[3]​ el 9 de abril de 1517. Convertido en Marquesado el 5 de agosto de 1547 y a Principado el 13 de agosto de 1598 por Clemente VIII.[4]​[2]​ Fue suprimido el 20 de marzo de 1767,[5]​ siendo cedido al Reino de Cerdeña.[6]​
Su territorio abarcó la actual comuna italiana de Masserano además de (Crevacuore, Romagnano Sesia hasta 1588 cuando pasa a la familia Serbelloni,[7]​ Curino, Ponzone, Crosa y Mombello di Torino), en el noroeste del país y tuvo como principal población a la localidad de igual nombre.[8]​",¿En qué país se encuentra la localidad de Ponzone?
34,[-0.06604   0.01033  -0.01138  ... -0.01984   0.003521  0.01027 ],"Christopher S. Claremont[1]​[2]​ (Londres, Inglaterra, Reino Unido, 25 de noviembre de 1950),[3]​[4]​ más conocido como Chris Claremont, es un guionista de cómics y escritor, conocido principalmente por ser el autor que popularizó a los X-Men de los años 1980.
Durante sus 16 años ininterrumpidos (1975-1991) como guionista de Uncanny X-Men, Claremont redefinió casi por completo la serie, pasando de estar al borde del cierre a ser una de las más importantes de la editorial. La mayoría de los mutantes de Marvel Comics han sido creados o redefinidos por él, razón por la que es considerado como padre del «subuniverso» mutante de Marvel. Es considerado por muchos como el segundo guionista más importante en la historia de la editorial, tras Stan Lee.La historieta o cómic fantástico es uno de los géneros de ficción en que puede dividirse la producción de historietas. La fantasía asoma en otros muchos géneros falso y, en su concepción más amplia, puede abarcar la historieta de ciencia ficción y la de terror, pero es más habitual concederles una entidad diferente. En términos generales, puede afimarse que el cómic es un medio especialmente propicio para el género fantástico, dado que la ""absoluta libertad del lápiz ante la página en blanco da al artista la capacidad de proponer el más delirante de los mundos posibles con el único límite de su imaginación"".[1]​",¿Qué serie de historietas popularizó el guionista Chris Claremont?
35,[-0.04767  -0.0158   -0.0822   ... -0.0338   -0.0635   -0.006023],"Petra van Staveren (Kampen, Países Bajos, 2 de junio de 1966)[1]​ es una nadadora neerlandesa retirada especializada en pruebas de estilo braza, donde consiguió ser campeona olímpica en 1984 en los 100 metros.[2]​[3]​Petra es un nombre propio femenino de origen latino. Es el femenino de Pedro, nombre de origen latino que significa 'piedra'. Es un nombre común en Alemania, Croacia, Eslovaquia y República Checa.",¿Por qué es conocida la neerlandesa Petra van Staveren?
36,[ 0.02423 -0.0323  -0.06168 ...  0.01982  0.02039 -0.02643],"El FC Zhenis es un club de fútbol de Kazajistán de la ciudad de Astaná. Fue fundado en 1946 y jugaba en la Super Liga de Kazajistán hasta 2008 cuando el equipo, al declararse en quiebra, fue relegado a divisiones inferiores. Actualmente juega en la Super Liga de Kazajistán.El Estadio Kazhymukan Munaitpasov (en kazajo: Қажымұқан Мұңайтпасов стадион) es un estadio multiusos ubicado en la ciudad de Astaná, Kazajistán. Se utiliza preferentemente para partidos de fútbol, y es el estadio del FC Zhenis Astana, club que milita en la Liga Premier de Kazajistán, la máxima división del fútbol en Kazajistán. El estadio tiene una capacidad para 12.000 personas[1]​.
El estadio lleva desde 1986 el nombre de Kazhymukan Munaitpasov, un luchador kazajo y artista circense, y repetidas veces campeón mundial de lucha grecorromana[2]​.",¿Cuál es el nombre anterior del actual club de football FC Zhenis?
37,[-0.0421   -0.05182  -0.0075   ... -0.02188  -0.03873   0.007244],"David Linus Lieberman (también conocido como Microchip o Micro) es un personaje ficticio de Marvel Comics. Creado por el escritor Mike Baron y el artista Klaus Janson, apareció por primera vez en The Punisher #4 (noviembre de 1987) como un aliado del Punisher por años. Ayudó al Castigador al construir armas, suplementando tecnología y brindándole su amistad. En publicaciones más recientes, Microchip evolucionó gradualmente del amigo del Castigador a un enemigo acérrimo.[2]​
Micro fue interpretado por Wayne Knight en Punisher: War Zone de 2008 y por Ebon Moss-Bachrach en la adaptación para televisión de Netflix, ubicado en el Marvel Cinematic Universe.[3]​The Magicians fue una serie de televisión de fantasía estadounidense que se estrenó el 16 de diciembre de 2015 por Syfy y está basada en la novela del mismo nombre de Lev Grossman. En enero de 2019, Syfy renovó la serie para una quinta temporada a estrenarse el 15 de enero de 2020. La serie finalizó el 1 de abril de 2020 tras 5 temporadas y 65 episodios.",¿En que plataforma se lanzó la serie de televisión The Punisher?
38,[-0.02983  -0.006413 -0.0368   ... -0.006413 -0.02654   0.001999],,¿Cuáles son las cuatro furzas fundamentales según la física de partículas?
39,[-0.05957   0.00791   0.0273   ... -0.01227  -0.03625   0.001358],"Gampel-Bratsch es una comuna suiza del cantón del Valais, situada en el distrito de Leuk. Limita al norte con la comuna de Ferden, al este con Steg-Hohtenn y Niedergesteln, al sur con Turtmann, y al oeste con Leuk y Erschmatt.
La comuna fue creada el 1 de enero de 2009 de la fusión de las antiguas comunas de Gampel y Bratsch. La fusión fue decidida por el cuerpo electoral de las dos comunas el 20 de enero de 2008.La estación de Gampel-Steg es la principal estación ferroviaria de la comuna suiza de Steg-Hohtenn, en el Cantón del Valais.",¿Cuándo fue creada la comuna suiza Gampel-Bratsch?
40,[0.01521  0.04355  0.002157 ... 0.03333  0.007256 0.00801 ],"Cilleruelo de San Mamés es un municipio y localidad española de la provincia de Segovia, en la comunidad autónoma de Castilla y León. Cuenta con una población de 35 habitantes (INE 2024).La iglesia de San Mamés es un edificio religioso situado en el municipio español de Cilleruelo de San Mamés,[1]​ en la provincia de Segovia. Está declarado como bien de interés cultural desde 1994.[2]​[3]​[4]​[5]​",¿Dónde está ubicado Cilleruelo de San Mamés?
41,[-0.01857  0.00502 -0.03955 ...  0.02055 -0.0558   0.01093],"Frank Ullrich (Trusetal, 24 de enero de 1958) es un político y deportista alemán que compitió por la RDA en biatlón.[1]​
Participó en tres Juegos Olímpicos de Invierno, obteniendo en total cuatro medallas: oro y dos platas en Lake Placid 1980 y bronce en Innsbruck 1976.[1]​ Ganó catorce medallas en el Campeonato Mundial de Biatlón entre los años 1977 y 1983.[2]​
Después de retirarse de la competición, trabajó como entrenador de los equipos nacionales de biatlón de la RDA (1987-1991) y de Alemania (1991-2010), y de la selección de esquí de fondo de Alemania (2012-2015). Posteriormente, se dedicó a la política, en 2021 fue elegido diputado por el partido SPD en el Parlamento Federal.[3]​Antje Harvey (nacida como Antje Misersky, Magdeburgo, 10 de mayo de 1967) es una deportista alemana que compitió en esquí de fondo y biatlón.
Como biatleta participó en dos Juegos Olímpicos de Invierno, obteniendo en total cuatro medallas: oro y dos platas en Albertville 1992 y una plata en Lillehammer 1994.[1]​
Ganó dos medallas en el Campeonato Mundial de Biatlón, oro en 1995 y bronce en 1991.[2]​ En esquí de fondo obtuvo una medalla de bronce en el Campeonato Mundial de Esquí Nórdico de 1985, en la prueba de relevo.[3]​",¿ Cuántas medallas de oro obtuvo Alemania en el campeonato mundial de biatlón de 1991?
42,[-0.02101   0.006306  0.00603  ...  0.03085   0.036     0.04062 ],"El Hamilton Academical Football Club es un club de fútbol de Escocia, con sede en Hamilton. Fue fundado en 1874 y compite en el Scottish Championship, segunda categoría del fútbol escocés.La Scottish Challenge Cup (por razones de patrocinio Petrofac Training Cup) es una competición de fútbol de Escocia en la que participan equipos de la Scottish Premiership, Primera, Segunda, Tercera División, más los campeones de la Highland Football League.
La competición se celebró por primera vez durante la temporada 1990-91, como la Copa Centenario B & Q, para celebrar el 100° aniversario de la formación de la Liga escocesa de fútbol. El primer ganador del torneo fue Dundee FC, que venció en la final al Ayr United. Falkirk es el equipo más exitoso en el torneo, con cuatro victorias, la última en 2012.",¿Cuántas veces ha participado el equipo escocés de football Hamilton Academical Football Club en el torneo Scottish Challenge Cup?
43,[-0.05493 -0.03111 -0.04202 ... -0.01137  0.01958 -0.01631],"La epidemiología es una disciplina científica en el área de la salud pública, no solamente la medicina,  que estudia la distribución, frecuencia, magnitud y factores determinantes de las enfermedades existentes en poblaciones humanas definidas. Rich la describió en 1979 como la ciencia que estudia la dinámica de salud en las poblaciones; por lo tanto involucra el análisis e interpretación de las personas que también están sanas.. El profesional especializado en epidemiología se llama epidemiólogo.[1]​La epidemiología ocupacional es una subdisciplina de la epidemiología que se centra en las investigaciones de los trabajadores y el lugar de trabajo.[1]​[2]​ Los estudios epidemiológicos ocupacionales examinan los resultados de salud entre los trabajadores y su posible asociación con las condiciones en el lugar de trabajo, incluidos el ruido, los productos químicos, el calor o la radiación, o la organización del trabajo, como los horarios.
La necesidad de evidencia para informar las regulaciones de seguridad ocupacional, los programas de compensación laboral y la legislación de seguridad motivó el desarrollo de políticas de salud pública, métodos de epidemiología ocupacional y mecanismos de vigilancia.[3]​ La investigación epidemiológica ocupacional puede informar las evaluaciones de riesgos; desarrollo de estándares y otras actividades de gestión de riesgos; y estimaciones de los co-beneficios y co-daños de las políticas diseñadas para reducir los factores de riesgo o las condiciones que pueden afectar la salud humana. Los métodos de epidemiología ocupacional son comunes a los métodos utilizados en epidemiología ambiental.[4]​",¿Para qué se usa un estudio de casos y controles en epidemiología?
44,[-0.02983  -0.006413 -0.0368   ... -0.006413 -0.02654   0.001999],,"¿Quién escribó la novela italiana ""Il passato è una terra straniera"" cuyo título en espanol es ""El pasado es un país extranjero""?"
45,[-0.02983  -0.006413 -0.0368   ... -0.006413 -0.02654   0.001999],,¿Cuál es el único continente en el que habitan los corvinos negros (Corcorax melanorhamphos)?
46,[ 0.005333 -0.02092   0.00783  ...  0.01857  -0.005753  0.02682 ],"Valrico es un lugar designado por el censo ubicado en Hillsborough, en el estado estadounidense de Florida. Según el censo de 2020, tiene una población de 37.895 habitantes.[2]​El condado de Hillsborough es un condado ubicado en el estado de Florida. En 2000, su población era de 998 948 habitantes. Su sede está en Tampa.
El Condado de Hillsborough cobra una tasa de 1% a las ventas que se añade al 4% de la tasa del estado de Florida.",¿En dónde está ubicado Valrico?
47,[ 0.00313  -0.03955  -0.04904  ...  0.0387    0.003841 -0.01805 ],"General Pinedo es una localidad y municipio argentino ubicada en el sudoeste de la provincia del Chaco en el departamento Doce de Octubre del que es cabecera.
Fue creada el 25 de mayo de 1912; institucionalmente tiene categoría segunda y no posee Carta Orgánica. Según el censo argentino de 2001 la población urbana alcanza los 15 741 habitantes, de los cuales 11 332 habitan en el ejido del pueblo. El censo de 2010 contabilizó 22 225 habitantes, 6484 más que en 2001.
Dentro del ejido municipal se hallan las localidades de Mesón de Fierro y Pampa Landriel.La Asociación Civil Club Atlético Unión es una institución deportiva de General Pinedo, provincia del Chaco, Argentina. Está ubicada en el centro de la ciudad, en calle 8 entre 1 y 3, y fue fundada el 15 de febrero de 1921, a partir de la fusión de los equipos Unión y Matienzo, motivo por el que en sus inicios se lo conoció como Unión Matienzo. El club forma parte de la Liga del Sudoeste,[2]​ donde disputa partidos oficiales de fútbol.
En 1984 participó del Torneo Nacional de fútbol, en el cual enfrentó en dos oportunidades a San Lorenzo, ante el que logró un histórico empate en condición de visitante en el estadio de Atlanta;[3]​[4]​[5]​ los partidos de local sin embargo los disputaba en el estadio de Chaco For Ever, en Resistencia, a 300 km de su sede.
Tras esa participación inició un declive que llegó hasta su desafiliación de la liga regional de fútbol. En 2013 se inició un proceso de reorganización de la institución.",¿En qué provincia de Argentina se encuentra la ciudad de General Pinedo?
48,[-0.003897 -0.00278  -0.053    ... -0.01147   0.012825  0.01782 ],"Los asesinatos en masa de Nizhn Taguil se refieren a una fosa común descubierta a comienzos de 2007, cerca de la ciudad de Nizhni Taguil en el Óblast de Sverdlovsk, en Rusia. La tumba contenía los restos confirmados de 15 jóvenes mujeres y niñas, quienes tenía entre 13 y 25 años, y algunas que llegaban a los 30 años, quienes fueron asesinadas por una pandilla de proxenetas entre 2002 y 2005.",¿En qué cadena montañosa esta localizada la ciudad de Nizhni Taguil?
49,[-0.04654  -0.03445   0.002449 ... -0.01692  -0.005398  0.02438 ],"Lewistown es una ciudad ubicada en el condado de Fulton en el estado estadounidense de Illinois. En el Censo de 2010 tenía una población de 2384 habitantes y una densidad poblacional de 460,23 personas por km².[3]​Lewistown es un pueblo ubicado en el condado de Lewis en el estado estadounidense de Misuri. En el Censo de 2010 tenía una población de 534 habitantes y una densidad poblacional de 429,54 personas por km².[3]​",¿En qué estado de Estados Unidos se encuentra Lewistown?
